Index,Lot,Time,pH,Temp,Voltage
1,1,오후 4:20:40.0,2.14,42.49,15.23
2,1,오후 4:20:45.0,1.97,42.07,15.82
3,1,오후 4:20:50.0,2.1,41.32,19.95
4,1,오후 4:20:55.0,1.99,44.08,16.24
5,1,오후 4:21:00.0,2.16,44.21,15.85
6,1,오후 4:21:05.0,2.05,41.82,17.88
7,1,오후 4:21:10.0,2.04,41.34,18.35
8,1,오후 4:21:15.0,2.19,41.91,16.91
9,1,오후 4:21:20.0,2.06,44.89,18.0
10,1,오후 4:21:25.0,1.82,41.02,16.56
11,1,오후 4:21:30.0,1.92,44.19,17.26
12,1,오후 4:21:35.0,2.1,42.91,17.06
13,1,오후 4:21:40.0,1.93,44.68,15.38
14,1,오후 4:21:45.0,1.89,44.02,15.1
15,1,오후 4:21:50.0,2.19,44.14,15.74
16,1,오후 4:21:55.0,1.86,40.17,17.63
17,1,오후 4:22:00.0,1.86,42.18,19.48
18,1,오후 4:22:05.0,2.07,40.45,15.95
19,1,오후 4:22:10.0,1.88,43.53,17.57
20,1,오후 4:22:15.0,2.13,40.4,17.69
21,1,오후 4:22:20.0,1.9,44.54,17.32
22,1,오후 4:22:25.0,2.16,41.73,18.34
23,1,오후 4:22:30.0,2.02,41.83,17.25
24,1,오후 4:22:35.0,2.16,41.0,18.29
25,1,오후 4:22:40.0,1.97,43.73,16.2
26,1,오후 4:22:45.1,1.84,41.77,15.6
27,1,오후 4:22:50.1,1.94,40.2,17.14
28,1,오후 4:22:55.1,2.15,41.4,19.63
29,1,오후 4:23:00.1,2.42,42.0,15.54
30,1,오후 4:23:05.1,1.89,44.01,19.47
31,1,오후 4:23:10.1,1.93,40.56,19.5
32,1,오후 4:23:15.1,2.15,42.3,19.08
33,1,오후 4:23:20.1,1.87,40.27,17.33
34,1,오후 4:23:25.1,2.05,43.32,15.12
35,1,오후 4:23:30.1,2.17,43.1,19.79
36,1,오후 4:23:35.1,2.15,41.03,15.63
37,1,오후 4:23:40.1,1.94,40.64,19.1
38,1,오후 4:23:45.1,2.01,43.4,16.49
39,1,오후 4:23:50.1,2.04,44.49,15.56
40,1,오후 4:23:55.1,2.17,41.93,19.05
41,1,오후 4:24:00.1,1.87,40.58,17.09
42,1,오후 4:24:05.2,1.98,43.4,16.5
43,1,오후 4:24:10.2,1.96,43.5,15.79
44,1,오후 4:24:15.2,1.88,41.82,17.85
45,1,오후 4:24:20.2,2.08,42.48,19.16
46,1,오후 4:24:25.2,2.17,40.41,15.84
47,1,오후 4:24:30.2,2.18,42.48,18.67
48,1,오후 4:24:35.2,2.12,44.22,19.31
49,1,오후 4:24:40.2,1.96,40.5,19.8
50,1,오후 4:24:45.2,1.88,40.53,16.47
51,1,오후 4:24:50.2,1.9,33.89,16.87
52,1,오후 4:24:55.2,2.3,36.08,19.01
53,1,오후 4:25:00.2,1.85,41.84,17.17
54,1,오후 4:25:05.2,2.14,40.91,17.93
55,1,오후 4:25:10.2,2.06,42.7,16.54
56,1,오후 4:25:15.2,2.04,43.89,15.71
57,1,오후 4:25:20.2,2.03,40.72,18.87
58,1,오후 4:25:25.2,1.95,42.19,19.55
59,1,오후 4:25:30.2,2.14,42.71,16.87
60,1,오후 4:25:35.2,1.94,44.26,18.91
61,1,오후 4:25:40.2,1.95,43.39,18.17
62,1,오후 4:25:45.2,1.98,41.95,18.28
63,1,오후 4:25:50.2,1.89,44.6,18.95
64,1,오후 4:25:55.3,1.94,40.68,19.7
65,1,오후 4:26:00.3,2.18,41.37,18.53
66,1,오후 4:26:05.3,2.05,43.89,18.53
67,1,오후 4:26:10.3,1.96,42.84,16.86
68,1,오후 4:26:15.3,2.1,43.91,19.0
69,1,오후 4:26:20.3,2.19,41.0,19.13
70,2,오후 4:26:45.4,1.94,42.38,17.8
71,2,오후 4:26:50.4,1.95,40.67,18.98
72,2,오후 4:26:55.4,2.11,43.14,17.5
73,2,오후 4:27:00.4,1.83,43.07,19.45
74,2,오후 4:27:05.4,2.02,44.57,17.58
75,2,오후 4:27:10.4,1.87,42.58,15.12
76,2,오후 4:27:15.4,1.95,43.21,17.12
77,2,오후 4:27:20.4,2.12,40.74,17.3
78,2,오후 4:27:25.5,1.96,40.11,16.41
79,2,오후 4:27:30.5,1.83,40.34,19.65
80,2,오후 4:27:35.5,2.02,42.94,17.33
81,2,오후 4:27:40.5,2.19,41.17,15.12
82,2,오후 4:27:45.5,2.03,42.7,17.69
83,2,오후 4:27:50.5,1.82,40.91,18.1
84,2,오후 4:27:55.5,1.93,44.11,15.5
85,2,오후 4:28:00.5,2.0,41.69,17.81
86,2,오후 4:28:05.5,2.06,43.09,16.44
87,2,오후 4:28:10.5,2.13,44.63,17.99
88,2,오후 4:28:15.5,1.94,44.5,17.57
89,2,오후 4:28:20.5,2.12,42.56,19.53
90,2,오후 4:28:25.5,2.19,42.8,19.71
91,2,오후 4:28:30.5,1.83,43.72,18.13
92,2,오후 4:28:35.5,2.19,42.91,15.89
93,2,오후 4:28:40.5,1.83,40.8,18.78
94,2,오후 4:28:45.5,1.82,44.65,16.34
95,2,오후 4:28:50.5,1.98,44.1,17.28
96,2,오후 4:28:55.5,2.12,40.17,15.95
97,2,오후 4:29:00.5,1.82,41.59,15.14
98,2,오후 4:29:05.5,2.12,41.3,18.63
99,2,오후 4:29:10.6,1.96,44.45,16.95
100,2,오후 4:29:15.6,2.14,42.6,18.06
101,2,오후 4:29:20.6,1.82,44.38,16.9
102,2,오후 4:29:25.6,2.0,41.48,18.41
103,2,오후 4:29:30.6,2.08,44.62,16.83
104,2,오후 4:29:35.6,1.87,40.61,16.5
105,2,오후 4:29:40.6,2.1,44.45,16.76
106,2,오후 4:29:45.6,2.13,43.17,19.57
107,2,오후 4:29:50.6,1.95,40.17,16.32
108,2,오후 4:29:55.6,2.19,41.14,19.12
109,2,오후 4:30:00.6,1.93,43.2,16.96
110,2,오후 4:30:05.6,1.96,43.48,18.99
111,2,오후 4:30:10.6,2.05,42.13,18.97
112,2,오후 4:30:15.6,1.88,41.56,17.16
113,2,오후 4:30:20.6,1.91,41.61,18.62
114,2,오후 4:30:25.6,1.92,44.22,19.49
115,2,오후 4:30:30.6,2.15,41.84,16.01
116,2,오후 4:30:35.6,2.04,44.76,19.19
117,2,오후 4:30:40.6,2.08,42.16,15.03
118,2,오후 4:30:45.7,1.89,44.93,18.56
119,2,오후 4:30:50.7,2.07,41.58,18.16
120,2,오후 4:30:55.7,1.95,43.08,15.11
121,2,오후 4:31:00.7,2.14,41.1,19.44
122,2,오후 4:31:05.7,1.83,41.01,16.64
123,2,오후 4:31:10.7,2.13,41.83,19.65
