Index,Lot,Time,pH,Temp,Voltage
1,1,오후 4:28:15.0,1.84,43.96,17.49
2,1,오후 4:28:20.0,1.87,43.91,18.98
3,1,오후 4:28:25.0,2.25,37.68,19.19
4,1,오후 4:28:30.0,2.13,40.07,16.16
5,1,오후 4:28:35.0,1.92,41.49,17.97
6,1,오후 4:28:40.0,2.08,44.29,15.33
7,1,오후 4:28:45.0,2.05,42.21,18.25
8,1,오후 4:28:50.0,1.84,40.32,19.76
9,1,오후 4:28:55.0,1.94,44.6,17.98
10,1,오후 4:29:00.0,1.94,41.07,17.06
11,1,오후 4:29:05.0,1.9,41.04,19.57
12,1,오후 4:29:10.0,1.82,42.94,16.63
13,1,오후 4:29:15.0,2.02,44.96,18.27
14,1,오후 4:29:20.0,1.89,40.24,18.36
15,1,오후 4:29:25.0,2.03,43.61,19.35
16,1,오후 4:29:30.0,1.89,40.06,19.0
17,1,오후 4:29:35.0,2.03,43.9,19.62
18,1,오후 4:29:40.0,2.06,40.99,18.35
19,1,오후 4:29:45.0,2.1,43.46,17.24
20,1,오후 4:29:50.0,2.16,43.18,17.92
21,1,오후 4:29:55.0,1.9,43.88,15.65
22,1,오후 4:30:00.0,2.18,41.88,19.09
23,1,오후 4:30:05.0,2.08,44.1,17.57
24,1,오후 4:30:10.1,2.12,42.6,16.23
25,1,오후 4:30:15.1,1.99,40.8,19.0
26,1,오후 4:30:20.1,1.93,44.24,19.5
27,1,오후 4:30:25.1,2.16,42.14,19.48
28,1,오후 4:30:30.1,1.83,40.27,15.89
29,1,오후 4:30:35.1,1.91,43.46,18.07
30,1,오후 4:30:40.1,1.87,44.66,15.83
31,1,오후 4:30:45.1,2.25,37.68,19.19
32,1,오후 4:30:50.1,2.0,42.65,16.29
33,1,오후 4:30:55.1,1.98,43.21,18.97
34,1,오후 4:31:00.1,2.25,37.68,19.19
35,1,오후 4:31:05.1,1.95,42.38,16.35
36,1,오후 4:31:10.1,1.9,40.9,18.23
37,1,오후 4:31:15.1,1.94,42.09,18.86
38,1,오후 4:31:20.1,2.15,43.83,15.67
39,1,오후 4:31:25.1,2.06,43.77,19.97
40,1,오후 4:31:30.1,2.0,42.34,19.94
41,1,오후 4:31:35.1,1.95,43.98,17.77
42,1,오후 4:31:40.1,2.11,42.47,18.86
43,1,오후 4:31:45.1,2.02,44.22,19.46
44,1,오후 4:31:50.1,1.82,42.67,16.26
45,1,오후 4:31:55.1,2.01,44.84,15.32
46,1,오후 4:32:00.1,2.06,42.15,18.16
47,1,오후 4:32:05.1,1.89,42.85,16.21
48,1,오후 4:32:10.1,2.14,43.03,16.8
49,1,오후 4:32:15.1,2.14,40.79,19.34
50,1,오후 4:32:20.2,2.08,40.23,18.35
51,1,오후 4:32:25.2,2.01,42.34,16.62
52,1,오후 4:32:30.2,1.86,41.28,16.22
53,1,오후 4:32:35.2,2.06,41.21,15.82
54,1,오후 4:32:40.2,1.96,43.78,19.27
55,1,오후 4:32:45.2,2.01,42.39,17.75
56,1,오후 4:32:50.2,2.04,44.64,18.38
57,1,오후 4:32:55.2,1.87,42.01,19.07
58,1,오후 4:33:00.2,2.05,44.51,16.25
59,1,오후 4:33:05.2,2.09,42.69,18.24
60,1,오후 4:33:10.2,2.06,40.24,15.94
61,1,오후 4:33:15.2,2.09,44.64,17.5
62,1,오후 4:33:20.2,1.89,40.77,18.6
63,1,오후 4:33:25.2,1.99,40.56,17.46
64,1,오후 4:33:30.2,1.95,42.28,17.27
65,1,오후 4:33:35.2,2.17,43.48,19.55
66,1,오후 4:33:40.2,2.07,43.89,18.32
67,1,오후 4:33:45.2,2.25,37.68,19.19
68,1,오후 4:33:50.2,2.18,44.16,16.25
