Index,Lot,Time,pH,Temp,Voltage
1,1,오후 4:26:51.0,1.87,44.71,19.96
2,1,오후 4:26:56.0,1.84,42.24,17.23
3,1,오후 4:27:01.0,1.84,43.4,16.07
4,1,오후 4:27:06.0,2.15,43.2,18.35
5,1,오후 4:27:11.0,2.01,40.49,17.44
6,1,오후 4:27:16.0,1.98,43.37,19.75
7,1,오후 4:27:21.0,2.11,43.8,18.55
8,1,오후 4:27:26.0,2.04,41.38,17.12
9,1,오후 4:27:31.0,1.93,41.18,15.27
10,1,오후 4:27:36.0,1.83,41.67,16.6
11,1,오후 4:27:41.0,1.87,42.8,16.24
12,1,오후 4:27:46.0,1.86,40.07,17.72
13,1,오후 4:27:51.0,2.05,43.97,18.93
14,1,오후 4:27:56.0,1.82,43.5,15.53
15,1,오후 4:28:01.0,2.13,43.43,16.62
16,1,오후 4:28:06.0,2.15,43.4,15.94
17,1,오후 4:28:11.0,1.97,42.43,15.73
18,1,오후 4:28:16.0,2.14,42.08,18.45
19,1,오후 4:28:21.0,2.18,44.16,15.61
20,1,오후 4:28:26.0,1.82,43.05,17.81
21,1,오후 4:28:31.1,2.01,44.24,16.98
22,1,오후 4:28:36.1,1.92,42.55,17.8
23,1,오후 4:28:41.1,2.04,42.77,16.46
24,1,오후 4:28:46.1,1.88,41.0,18.0
25,1,오후 4:28:51.1,1.82,40.81,19.67
26,1,오후 4:28:56.1,2.12,40.67,17.07
27,1,오후 4:29:01.1,2.14,43.88,16.3
28,1,오후 4:29:06.1,2.11,44.85,16.35
29,1,오후 4:29:11.1,1.96,44.03,18.74
30,1,오후 4:29:16.1,1.83,41.44,15.75
31,1,오후 4:29:21.1,2.19,44.48,18.25
32,1,오후 4:29:26.1,1.89,44.64,15.15
33,1,오후 4:29:31.1,2.06,42.07,15.4
34,1,오후 4:29:36.1,1.9,40.74,16.21
35,1,오후 4:29:41.1,1.98,43.12,16.76
36,1,오후 4:29:46.1,1.99,40.93,17.13
37,1,오후 4:29:51.1,2.13,40.79,15.75
38,1,오후 4:29:56.1,2.17,42.36,17.54
39,1,오후 4:30:01.1,1.84,41.03,15.42
40,1,오후 4:30:06.2,2.02,43.87,17.07
41,1,오후 4:30:11.2,2.19,42.51,15.05
42,1,오후 4:30:16.2,1.83,40.42,15.34
43,1,오후 4:30:21.2,2.08,44.52,18.78
44,1,오후 4:30:26.2,1.84,41.67,18.39
45,1,오후 4:30:31.2,2.04,44.28,18.6
46,1,오후 4:30:36.2,2.03,41.72,16.31
47,1,오후 4:30:41.2,1.99,41.77,16.12
48,1,오후 4:30:46.2,2.12,43.73,18.11
49,1,오후 4:30:51.2,1.94,44.95,15.02
50,1,오후 4:30:56.2,1.85,44.19,18.32
51,1,오후 4:31:01.2,2.05,44.85,16.87
52,1,오후 4:31:06.2,1.9,40.28,15.93
53,1,오후 4:31:11.2,2.1,40.54,15.03
54,1,오후 4:31:16.2,2.18,44.86,19.14
55,1,오후 4:31:21.2,2.16,44.08,18.47
56,1,오후 4:31:26.2,1.86,41.91,19.83
57,1,오후 4:31:31.2,1.93,44.06,17.07
58,1,오후 4:31:36.2,2.0,40.54,18.44
59,1,오후 4:31:41.2,2.0,40.24,18.09
60,1,오후 4:31:46.2,1.92,41.63,18.68
61,1,오후 4:31:51.3,2.04,43.09,17.49
62,1,오후 4:31:56.3,1.81,44.51,17.82
