Index,Lot,Time,pH,Temp,Voltage
1,1,오후 4:25:10.0,2.18,44.35,18.34
2,1,오후 4:25:15.0,1.83,42.11,17.39
3,1,오후 4:25:20.0,1.89,44.1,16.35
4,1,오후 4:25:25.0,2.19,41.93,17.66
5,1,오후 4:25:30.0,1.94,41.5,15.1
6,1,오후 4:25:35.0,2.1,43.17,18.62
7,1,오후 4:25:40.0,1.91,42.77,15.67
8,1,오후 4:25:45.0,1.86,44.59,17.27
9,1,오후 4:25:50.0,1.93,42.2,19.46
10,1,오후 4:25:55.0,2.04,40.93,16.42
11,1,오후 4:26:00.0,2.11,43.35,18.27
12,1,오후 4:26:05.0,2.19,40.31,15.81
13,1,오후 4:26:10.0,1.81,44.85,16.49
14,1,오후 4:26:15.0,2.17,44.85,19.56
15,1,오후 4:26:20.0,2.15,44.05,17.19
16,1,오후 4:26:25.0,1.85,41.32,16.47
17,1,오후 4:26:30.0,1.95,41.23,19.41
18,1,오후 4:26:35.0,2.02,41.28,18.42
19,1,오후 4:26:40.0,2.1,44.18,17.9
20,1,오후 4:26:45.0,1.93,43.45,18.18
21,1,오후 4:26:50.0,1.81,41.55,15.22
22,1,오후 4:26:55.1,2.01,44.23,18.41
23,1,오후 4:27:00.1,2.05,41.75,19.88
24,1,오후 4:27:05.1,1.82,44.46,16.97
25,1,오후 4:27:10.1,2.19,42.62,19.0
26,1,오후 4:27:15.1,2.15,40.87,16.6
27,1,오후 4:27:20.1,1.83,44.5,18.08
28,1,오후 4:27:25.1,1.99,43.69,18.16
29,1,오후 4:27:30.1,1.82,41.74,17.85
30,1,오후 4:27:35.1,2.13,42.25,19.44
31,1,오후 4:27:40.1,2.14,42.25,17.48
32,1,오후 4:27:45.1,2.13,42.48,17.32
33,1,오후 4:27:50.1,1.88,42.67,18.12
34,1,오후 4:27:55.1,2.11,41.3,18.46
35,1,오후 4:28:00.1,2.01,43.07,16.0
36,1,오후 4:28:05.1,2.12,43.64,18.32
37,1,오후 4:28:10.1,1.84,42.74,17.93
38,1,오후 4:28:15.1,1.97,42.53,19.06
39,1,오후 4:28:20.1,1.97,42.71,15.61
40,1,오후 4:28:25.1,2.42,44.01,19.64
41,1,오후 4:28:30.1,1.89,44.11,16.08
42,1,오후 4:28:35.1,2.13,43.13,15.27
43,1,오후 4:28:40.1,2.02,42.88,15.7
44,1,오후 4:28:45.1,1.96,42.52,16.34
45,1,오후 4:28:50.2,1.85,40.77,18.46
46,1,오후 4:28:55.2,1.9,43.51,17.66
47,1,오후 4:29:00.2,1.88,41.14,17.4
48,1,오후 4:29:05.2,2.07,43.2,16.48
49,1,오후 4:29:10.2,1.85,43.26,15.33
50,1,오후 4:29:15.2,2.18,42.69,15.2
51,1,오후 4:29:20.2,2.09,41.81,17.14
52,1,오후 4:29:25.2,2.19,43.96,15.2
53,1,오후 4:29:30.2,1.81,42.18,18.93
54,1,오후 4:29:35.2,1.87,40.2,16.48
55,1,오후 4:29:40.2,2.0,40.72,19.24
56,1,오후 4:29:45.2,1.84,42.04,16.39
57,1,오후 4:29:50.2,1.95,44.99,15.8
58,1,오후 4:29:55.2,1.9,40.31,19.28
59,1,오후 4:30:00.2,1.95,44.24,17.55
60,1,오후 4:30:05.2,1.89,42.6,17.36
61,1,오후 4:30:10.2,2.18,43.07,15.2
62,1,오후 4:30:15.2,2.06,40.26,16.85
63,1,오후 4:30:20.2,2.08,41.94,17.38
64,1,오후 4:30:25.3,2.18,43.25,18.91
65,1,오후 4:30:30.3,1.95,41.08,18.48
66,1,오후 4:30:35.3,1.86,42.79,15.8
67,1,오후 4:30:40.3,2.14,43.46,17.31
68,1,오후 4:30:45.3,2.02,41.86,16.57
69,1,오후 4:30:50.3,1.91,42.95,15.54
70,2,오후 4:31:17.8,2.12,44.74,17.7
71,2,오후 4:31:22.8,2.04,40.85,19.05
72,2,오후 4:31:27.8,1.84,43.94,15.46
73,2,오후 4:31:32.8,2.12,42.89,16.17
74,2,오후 4:31:37.8,1.97,41.83,18.91
75,2,오후 4:31:42.8,2.08,41.86,17.62
76,2,오후 4:31:47.9,2.01,41.66,17.28
77,2,오후 4:31:52.9,2.03,42.82,18.55
78,2,오후 4:31:57.9,1.84,44.82,19.96
79,2,오후 4:32:02.9,2.19,44.06,16.28
80,2,오후 4:32:07.9,2.18,43.46,19.99
81,2,오후 4:32:12.9,1.97,41.66,17.74
82,2,오후 4:32:17.9,1.85,43.5,19.87
83,2,오후 4:32:22.9,2.08,42.52,18.3
84,2,오후 4:32:27.9,2.12,42.79,17.51
85,2,오후 4:32:32.9,2.05,44.56,19.5
86,2,오후 4:32:37.9,1.81,43.37,17.22
87,2,오후 4:32:42.9,1.89,40.37,15.83
88,2,오후 4:32:47.9,2.18,41.83,15.14
89,2,오후 4:32:52.9,2.1,43.64,18.18
90,2,오후 4:32:57.9,2.15,42.31,16.8
91,2,오후 4:33:02.9,2.19,42.86,19.76
92,2,오후 4:33:07.9,1.83,44.44,19.56
93,2,오후 4:33:12.9,2.15,44.54,15.62
94,2,오후 4:33:17.9,1.83,40.64,18.78
95,2,오후 4:33:23.0,1.92,42.36,15.31
96,2,오후 4:33:28.0,1.91,43.97,17.22
97,2,오후 4:33:33.0,1.83,43.6,17.04
98,2,오후 4:33:38.0,2.05,43.41,17.21
99,2,오후 4:33:43.0,1.84,42.86,15.52
100,2,오후 4:33:48.0,2.06,44.89,16.07
101,2,오후 4:33:53.0,1.93,41.63,15.54
102,2,오후 4:33:58.0,2.05,41.02,17.22
103,2,오후 4:34:03.0,1.81,42.23,15.78
104,2,오후 4:34:08.0,1.88,40.13,19.11
105,2,오후 4:34:13.0,1.98,41.74,17.38
106,2,오후 4:34:18.0,2.19,41.66,17.73
107,2,오후 4:34:23.0,1.91,43.38,15.23
108,2,오후 4:34:28.0,1.99,41.09,19.92
109,2,오후 4:34:33.0,1.86,44.99,16.52
110,2,오후 4:34:38.1,1.96,41.59,15.42
111,2,오후 4:34:43.1,2.08,42.28,16.26
112,2,오후 4:34:48.1,2.16,42.21,19.22
113,2,오후 4:34:53.1,1.97,43.23,17.06
114,2,오후 4:34:58.1,1.86,44.12,18.49
115,2,오후 4:35:03.1,2.04,41.11,15.57
116,2,오후 4:35:08.1,2.04,40.63,15.7
117,2,오후 4:35:13.1,2.12,44.39,17.4
118,2,오후 4:35:18.1,2.0,40.75,16.43
119,2,오후 4:35:23.1,2.16,42.45,18.25
120,2,오후 4:35:28.1,2.19,42.17,16.13
121,2,오후 4:35:33.1,2.08,41.9,17.57
122,2,오후 4:35:38.1,1.9,40.49,19.97
123,2,오후 4:35:43.1,1.89,43.03,17.47
124,2,오후 4:35:48.1,1.93,43.75,15.47
125,2,오후 4:35:53.1,1.86,42.21,16.47
126,2,오후 4:35:58.2,1.98,40.26,16.66
127,2,오후 4:36:03.2,2.19,44.8,17.56
128,2,오후 4:36:08.2,1.94,41.01,17.08
129,2,오후 4:36:13.2,2.02,43.21,18.44
130,2,오후 4:36:18.2,2.05,44.06,18.64
131,2,오후 4:36:23.2,1.96,42.65,17.42
132,2,오후 4:36:28.2,1.81,42.99,16.14
133,2,오후 4:36:33.2,2.0,43.84,16.71
134,2,오후 4:36:38.2,1.97,41.71,16.18
135,2,오후 4:36:43.2,1.98,41.6,15.06
136,2,오후 4:36:48.2,1.97,41.91,19.35
137,2,오후 4:36:53.2,2.01,40.17,17.65
138,2,오후 4:36:58.2,1.87,43.18,19.27
139,3,오후 4:37:23.9,2.02,42.26,16.04
140,3,오후 4:37:28.9,2.14,41.75,19.44
141,3,오후 4:37:33.9,2.0,36.07,16.21
142,3,오후 4:37:39.0,1.98,43.63,19.35
143,3,오후 4:37:44.0,1.99,44.16,18.24
144,3,오후 4:37:49.0,1.82,42.95,15.31
145,3,오후 4:37:54.0,1.96,41.6,19.05
146,3,오후 4:37:59.0,2.08,44.13,17.37
147,3,오후 4:38:04.0,1.87,44.29,17.44
148,3,오후 4:38:09.0,2.01,40.59,16.18
149,3,오후 4:38:14.0,2.04,41.82,17.62
150,3,오후 4:38:19.0,2.01,41.9,17.78
151,3,오후 4:38:24.0,2.14,41.48,19.08
152,3,오후 4:38:29.0,2.06,41.57,17.79
153,3,오후 4:38:34.0,2.13,40.09,19.37
154,3,오후 4:38:39.0,1.94,42.16,15.07
155,3,오후 4:38:44.0,2.14,44.79,19.4
156,3,오후 4:38:49.0,2.13,42.02,16.19
157,3,오후 4:38:54.0,1.95,42.88,18.99
158,3,오후 4:38:59.1,1.83,43.97,15.79
159,3,오후 4:39:04.1,2.05,40.65,16.74
160,3,오후 4:39:09.1,2.0,36.07,16.21
161,3,오후 4:39:14.1,2.06,40.48,19.51
162,3,오후 4:39:19.1,1.97,43.45,19.25
163,3,오후 4:39:24.1,2.18,43.78,18.29
164,3,오후 4:39:29.1,2.12,44.26,18.01
165,3,오후 4:39:34.1,2.19,43.99,19.48
166,3,오후 4:39:39.1,2.05,44.72,18.42
167,3,오후 4:39:44.1,1.89,43.23,15.14
168,3,오후 4:39:49.1,2.13,41.77,18.92
169,3,오후 4:39:54.1,2.09,41.59,18.33
170,3,오후 4:39:59.1,1.84,40.41,17.63
171,3,오후 4:40:04.1,2.16,41.53,18.37
172,3,오후 4:40:09.1,1.93,40.3,18.29
173,3,오후 4:40:14.1,2.13,40.58,17.18
174,3,오후 4:40:19.1,2.08,42.23,15.99
175,3,오후 4:40:24.1,1.95,43.34,17.94
176,3,오후 4:40:29.1,2.0,36.07,16.21
177,3,오후 4:40:34.2,2.04,41.94,16.77
178,3,오후 4:40:39.2,1.81,44.59,19.02
179,3,오후 4:40:44.2,1.82,40.7,19.96
180,3,오후 4:40:49.2,2.19,44.75,19.14
181,3,오후 4:40:54.2,1.88,41.28,19.1
182,3,오후 4:40:59.2,1.86,40.39,18.56
183,3,오후 4:41:04.2,2.09,43.32,15.52
184,3,오후 4:41:09.2,2.09,40.49,16.16
185,3,오후 4:41:14.2,1.94,44.6,17.82
186,3,오후 4:41:19.2,1.93,43.43,19.05
187,3,오후 4:41:24.2,1.87,41.99,19.61
188,3,오후 4:41:29.2,1.84,42.51,15.75
189,3,오후 4:41:34.2,2.1,44.58,19.2
190,3,오후 4:41:39.2,2.12,44.52,16.43
191,3,오후 4:41:44.2,2.03,43.81,18.37
192,3,오후 4:41:49.2,1.99,42.22,16.98
193,3,오후 4:41:54.2,1.97,44.52,16.16
194,3,오후 4:41:59.2,2.02,41.02,16.43
195,3,오후 4:42:04.2,2.13,43.0,16.08
196,3,오후 4:42:09.2,1.88,41.13,18.0
197,3,오후 4:42:14.2,2.0,43.95,18.86
198,3,오후 4:42:19.3,1.93,43.67,16.84
199,3,오후 4:42:24.3,2.06,41.46,15.89
200,3,오후 4:42:29.3,2.0,36.07,16.21
201,3,오후 4:42:34.3,2.14,44.56,19.75
202,3,오후 4:42:39.3,2.03,44.26,15.24
203,3,오후 4:42:44.3,2.1,40.4,16.27
204,3,오후 4:42:49.3,2.0,42.96,18.21
205,3,오후 4:42:54.3,2.19,44.63,18.21
206,3,오후 4:42:59.3,1.91,42.36,17.86
207,3,오후 4:43:04.3,1.88,40.7,16.3
