Index,Lot,Time,pH,Temp,Voltage
1,1,오후 4:24:33.0,1.84,41.19,17.11
2,1,오후 4:24:38.0,1.97,42.72,19.82
3,1,오후 4:24:43.0,2.03,43.67,18.86
4,1,오후 4:24:48.0,1.85,41.15,18.49
5,1,오후 4:24:53.0,1.9,41.1,19.29
6,1,오후 4:24:58.0,1.91,42.93,16.52
7,1,오후 4:25:03.0,2.01,40.96,18.39
8,1,오후 4:25:08.0,2.05,42.47,19.23
9,1,오후 4:25:13.0,2.15,42.6,17.09
10,1,오후 4:25:18.0,2.1,43.01,17.05
11,1,오후 4:25:23.0,2.02,40.8,15.38
12,1,오후 4:25:28.0,1.88,40.74,15.62
13,1,오후 4:25:33.0,2.31,42.16,15.48
14,1,오후 4:25:38.0,2.04,41.82,17.56
15,1,오후 4:25:43.0,2.12,43.42,18.61
16,1,오후 4:25:48.0,2.05,41.21,19.88
17,1,오후 4:25:53.0,1.86,41.66,19.21
18,1,오후 4:25:58.0,2.19,41.62,15.95
19,1,오후 4:26:03.0,1.97,40.81,15.47
20,1,오후 4:26:08.0,2.16,42.22,16.39
21,1,오후 4:26:13.1,1.83,40.79,16.91
22,1,오후 4:26:18.1,2.01,43.31,17.65
23,1,오후 4:26:23.1,2.07,42.22,16.94
24,1,오후 4:26:28.1,2.02,43.11,19.17
25,1,오후 4:26:33.1,1.81,42.99,16.95
26,1,오후 4:26:38.1,1.84,44.57,15.4
27,1,오후 4:26:43.1,1.82,40.1,15.23
28,1,오후 4:26:48.1,1.99,44.94,19.43
29,1,오후 4:26:53.1,2.13,43.09,18.69
30,1,오후 4:26:58.1,2.01,40.83,15.62
31,1,오후 4:27:03.1,1.92,40.76,17.63
32,1,오후 4:27:08.1,2.07,40.41,16.47
33,1,오후 4:27:13.1,2.49,36.65,15.98
34,1,오후 4:27:18.1,2.06,43.51,17.95
35,1,오후 4:27:23.1,2.0,41.86,18.97
36,1,오후 4:27:28.1,1.92,43.12,17.02
37,1,오후 4:27:33.1,2.09,43.4,19.55
38,1,오후 4:27:38.1,2.03,41.03,18.25
39,1,오후 4:27:43.1,1.9,43.08,16.89
40,1,오후 4:27:48.1,2.07,44.64,18.96
41,1,오후 4:27:53.1,2.07,43.29,18.05
42,1,오후 4:27:58.1,2.0,44.11,16.19
43,1,오후 4:28:03.1,2.05,41.99,17.71
44,1,오후 4:28:08.1,1.95,40.3,17.2
45,1,오후 4:28:13.1,1.92,44.56,18.83
46,1,오후 4:28:18.2,2.12,40.16,16.25
47,1,오후 4:28:23.2,1.81,41.86,19.18
48,1,오후 4:28:28.2,1.93,40.96,19.24
49,1,오후 4:28:33.2,2.02,40.37,15.31
50,1,오후 4:28:38.2,1.89,43.86,18.41
51,1,오후 4:28:43.2,2.06,40.42,17.7
52,1,오후 4:28:48.2,2.1,44.48,15.77
53,1,오후 4:28:53.2,1.87,42.36,17.24
54,1,오후 4:28:58.2,1.95,41.05,17.44
55,1,오후 4:29:03.2,2.1,40.62,18.48
56,1,오후 4:29:08.2,2.13,42.79,16.7
57,1,오후 4:29:13.2,1.99,41.07,17.89
58,1,오후 4:29:18.2,2.14,44.36,18.28
59,1,오후 4:29:23.2,2.03,41.3,18.72
60,1,오후 4:29:28.2,2.08,40.55,16.81
61,1,오후 4:29:33.2,2.1,44.12,16.27
62,1,오후 4:29:38.2,1.81,43.33,17.51
63,1,오후 4:29:43.3,1.93,41.9,16.56
64,1,오후 4:29:48.3,2.06,41.95,16.66
65,1,오후 4:29:53.3,2.03,43.43,17.81
66,1,오후 4:29:58.3,1.93,43.95,16.07
67,1,오후 4:30:03.3,1.82,41.65,18.37
68,1,오후 4:30:08.3,1.86,40.85,19.51
69,1,오후 4:30:13.3,2.0,42.44,16.19
