Index,Lot,Time,pH,Temp,Voltage
1,1,오후 4:20:07.0,2.16,43.41,15.46
2,1,오후 4:20:12.0,1.92,43.92,18.9
3,1,오후 4:20:17.0,1.84,41.03,18.36
4,1,오후 4:20:22.0,2.11,41.37,18.32
5,1,오후 4:20:27.0,2.04,41.87,16.24
6,1,오후 4:20:32.0,2.09,42.24,17.43
7,1,오후 4:20:37.0,2.14,42.41,17.08
8,1,오후 4:20:42.0,1.84,40.85,19.77
9,1,오후 4:20:47.0,2.01,42.88,17.68
10,1,오후 4:20:52.0,2.16,42.72,16.51
11,1,오후 4:20:57.0,2.04,42.5,15.13
12,1,오후 4:21:02.0,1.98,43.74,18.18
13,1,오후 4:21:07.0,1.96,41.65,18.68
14,1,오후 4:21:12.0,2.14,43.25,19.26
15,1,오후 4:21:17.0,1.94,40.85,17.06
16,1,오후 4:21:22.0,2.08,41.31,15.12
17,1,오후 4:21:27.0,1.83,40.71,16.1
18,1,오후 4:21:32.0,2.08,43.33,18.75
19,1,오후 4:21:37.0,1.99,43.27,15.5
20,1,오후 4:21:42.1,2.07,40.02,19.73
21,1,오후 4:21:47.1,1.96,44.77,19.13
22,1,오후 4:21:52.1,1.93,43.24,18.67
23,1,오후 4:21:57.1,2.0,42.24,16.76
24,1,오후 4:22:02.1,2.17,40.27,17.43
25,1,오후 4:22:07.1,1.81,44.36,19.42
26,1,오후 4:22:12.1,2.04,41.56,16.54
27,1,오후 4:22:17.1,1.87,42.12,19.6
28,1,오후 4:22:22.1,2.04,41.87,16.32
29,1,오후 4:22:27.1,2.11,42.49,16.83
30,1,오후 4:22:32.1,2.15,43.97,18.09
31,1,오후 4:22:37.1,1.91,42.08,16.1
32,1,오후 4:22:42.1,1.9,41.69,16.06
33,1,오후 4:22:47.1,2.15,41.7,15.28
34,1,오후 4:22:52.1,1.99,42.38,15.93
35,1,오후 4:22:57.1,1.94,40.17,19.6
36,1,오후 4:23:02.1,2.15,41.89,17.75
37,1,오후 4:23:07.1,2.05,44.29,18.86
38,1,오후 4:23:12.1,1.93,42.61,18.92
39,1,오후 4:23:17.2,1.91,42.17,19.68
40,1,오후 4:23:22.2,1.93,40.7,19.3
41,1,오후 4:23:27.2,2.04,44.76,19.75
42,1,오후 4:23:32.2,2.13,44.07,18.57
43,1,오후 4:23:37.2,1.98,44.36,17.71
44,1,오후 4:23:42.2,2.1,43.58,17.13
45,1,오후 4:23:47.2,1.91,44.03,19.49
46,1,오후 4:23:52.2,2.06,40.7,19.26
47,1,오후 4:23:57.2,2.04,43.3,18.86
48,1,오후 4:24:02.2,1.84,43.26,19.26
49,1,오후 4:24:07.2,2.19,42.18,19.06
50,1,오후 4:24:12.2,1.94,41.68,16.1
51,1,오후 4:24:17.2,2.15,42.64,16.2
52,1,오후 4:24:22.2,2.04,42.27,18.05
53,1,오후 4:24:27.2,1.88,43.0,16.01
54,1,오후 4:24:32.2,2.18,42.13,17.46
55,1,오후 4:24:37.2,1.94,42.57,16.57
56,1,오후 4:24:42.2,2.02,42.47,15.29
57,1,오후 4:24:47.3,2.13,42.35,17.97
58,1,오후 4:24:52.3,2.03,44.87,18.81
59,1,오후 4:24:57.3,1.89,41.02,16.17
60,1,오후 4:25:02.3,1.9,43.5,15.83
61,1,오후 4:25:07.3,2.14,42.8,16.74
62,1,오후 4:25:12.3,2.03,43.14,15.86
63,1,오후 4:25:17.3,2.18,44.83,18.34
64,1,오후 4:25:22.3,1.92,43.39,16.86
65,1,오후 4:25:27.3,2.1,43.59,16.41
66,1,오후 4:25:32.3,1.95,41.67,15.98
67,1,오후 4:25:37.3,2.12,44.28,18.14
68,1,오후 4:25:42.3,2.17,40.08,16.49
