Index,Lot,Time,pH,Temp,Voltage
1,1,오후 4:28:10.0,1.83,40.1,18.65
2,1,오후 4:28:15.0,2.19,43.76,16.72
3,1,오후 4:28:20.0,2.12,41.05,16.55
4,1,오후 4:28:25.0,2.03,41.86,18.52
5,1,오후 4:28:30.0,2.46,36.32,19.52
6,1,오후 4:28:35.0,2.18,43.04,17.86
7,1,오후 4:28:40.0,2.0,40.06,17.56
8,1,오후 4:28:45.0,1.81,44.87,17.47
9,1,오후 4:28:50.0,1.81,43.96,19.38
10,1,오후 4:28:55.0,1.83,41.68,19.03
11,1,오후 4:29:00.0,1.82,40.61,19.38
12,1,오후 4:29:05.0,2.03,43.48,18.83
13,1,오후 4:29:10.0,2.08,42.88,16.95
14,1,오후 4:29:15.0,1.9,40.06,18.45
15,1,오후 4:29:20.0,2.09,42.69,15.22
16,1,오후 4:29:25.0,2.05,40.84,15.67
17,1,오후 4:29:30.1,2.1,42.48,17.5
18,1,오후 4:29:35.1,1.94,44.28,19.2
19,1,오후 4:29:40.1,1.91,41.4,17.0
20,1,오후 4:29:45.1,1.91,44.73,16.95
21,1,오후 4:29:50.1,1.83,42.01,17.5
22,1,오후 4:29:55.1,2.14,44.94,17.17
23,1,오후 4:30:00.1,2.05,41.69,15.74
24,1,오후 4:30:05.1,2.04,43.62,16.3
25,1,오후 4:30:10.1,2.06,42.72,17.1
26,1,오후 4:30:15.1,2.01,41.03,15.8
27,1,오후 4:30:20.1,1.92,40.49,15.49
28,1,오후 4:30:25.1,1.89,41.16,19.93
29,1,오후 4:30:30.1,1.98,43.14,19.63
30,1,오후 4:30:35.1,1.84,40.67,15.23
31,1,오후 4:30:40.1,1.98,42.9,16.68
32,1,오후 4:30:45.1,1.89,44.62,18.44
33,1,오후 4:30:50.1,2.17,44.56,16.24
34,1,오후 4:30:55.1,1.95,44.6,18.88
35,1,오후 4:31:00.2,1.82,40.26,16.71
36,1,오후 4:31:05.2,1.97,40.74,18.72
37,1,오후 4:31:10.2,1.86,41.89,19.34
38,1,오후 4:31:15.2,2.19,43.21,16.89
39,1,오후 4:31:20.2,2.09,44.25,16.69
40,1,오후 4:31:25.2,1.99,44.94,18.35
41,1,오후 4:31:30.2,1.89,42.43,17.81
42,1,오후 4:31:35.2,2.03,41.29,16.72
43,1,오후 4:31:40.2,1.94,42.07,16.78
44,1,오후 4:31:45.2,2.11,42.98,18.94
45,1,오후 4:31:50.2,2.17,42.74,16.16
46,1,오후 4:31:55.2,2.14,43.11,16.81
47,1,오후 4:32:00.2,2.09,41.57,17.36
48,1,오후 4:32:05.2,1.91,42.18,18.84
49,1,오후 4:32:10.2,2.41,41.95,17.25
50,1,오후 4:32:15.2,1.91,44.54,17.17
51,1,오후 4:32:20.2,2.1,44.9,15.59
52,1,오후 4:32:25.2,1.93,42.58,17.48
53,1,오후 4:32:30.2,2.04,42.61,17.57
54,1,오후 4:32:35.2,2.01,42.87,15.19
55,1,오후 4:32:40.2,2.16,44.33,19.3
56,1,오후 4:32:45.2,2.03,43.62,19.08
57,1,오후 4:32:50.3,1.89,42.6,19.41
58,1,오후 4:32:55.3,2.18,43.18,15.3
59,1,오후 4:33:00.3,2.13,43.67,18.42
60,1,오후 4:33:05.3,1.92,41.2,19.63
61,1,오후 4:33:10.3,2.07,44.21,18.38
62,1,오후 4:33:15.3,2.36,41.31,17.32
63,1,오후 4:33:20.3,1.94,41.88,16.1
64,1,오후 4:33:25.3,2.02,42.68,19.88
65,1,오후 4:33:30.3,2.1,44.07,17.09
66,1,오후 4:33:35.3,1.92,40.14,18.09
67,1,오후 4:33:40.3,2.13,44.16,16.11
68,1,오후 4:33:45.3,2.06,42.98,19.38
69,1,오후 4:33:50.3,2.04,41.24,16.12
70,2,오후 4:34:17.3,2.35,42.87,17.82
71,2,오후 4:34:22.3,2.15,40.57,18.69
72,2,오후 4:34:27.3,2.04,41.89,18.97
73,2,오후 4:34:32.3,2.19,40.7,15.07
74,2,오후 4:34:37.3,2.13,44.33,19.73
75,2,오후 4:34:42.3,2.18,43.37,18.93
76,2,오후 4:34:47.3,2.14,44.61,18.93
77,2,오후 4:34:52.3,1.87,42.7,16.21
78,2,오후 4:34:57.3,2.14,41.1,15.83
79,2,오후 4:35:02.3,2.1,42.34,18.23
80,2,오후 4:35:07.3,2.01,41.01,15.76
81,2,오후 4:35:12.3,1.82,43.72,18.07
82,2,오후 4:35:17.3,2.01,40.84,18.93
83,2,오후 4:35:22.3,1.93,40.34,15.76
84,2,오후 4:35:27.3,1.86,42.15,16.93
85,2,오후 4:35:32.3,1.89,42.44,16.12
86,2,오후 4:35:37.3,1.97,43.16,13.36
87,2,오후 4:35:42.3,2.07,44.31,17.19
88,2,오후 4:35:47.3,1.97,44.4,19.96
89,2,오후 4:35:52.4,2.15,41.66,17.26
90,2,오후 4:35:57.4,2.05,40.78,16.85
91,2,오후 4:36:02.4,2.01,43.98,17.91
92,2,오후 4:36:07.4,1.98,44.19,18.11
93,2,오후 4:36:12.4,2.19,44.09,19.73
94,2,오후 4:36:17.4,1.86,40.31,18.24
95,2,오후 4:36:22.4,1.84,42.54,17.42
96,2,오후 4:36:27.4,2.04,42.62,15.87
