Index,Lot,Time,pH,Temp,Voltage
1,1,오후 4:20:21.0,2.08,44.4,15.96
2,1,오후 4:20:26.0,1.84,44.06,15.55
3,1,오후 4:20:31.0,1.99,34.87,18.29
4,1,오후 4:20:36.0,1.97,43.26,17.33
5,1,오후 4:20:41.0,2.06,40.77,18.7
6,1,오후 4:20:46.0,1.94,41.05,15.15
7,1,오후 4:20:51.0,1.87,40.72,15.16
8,1,오후 4:20:56.0,2.17,42.83,16.24
9,1,오후 4:21:01.0,2.14,41.71,19.13
10,1,오후 4:21:06.0,1.87,43.38,19.02
11,1,오후 4:21:11.0,2.17,42.41,15.24
12,1,오후 4:21:16.0,2.04,40.42,15.56
13,1,오후 4:21:21.0,1.93,43.35,16.02
14,1,오후 4:21:26.0,1.89,44.8,16.88
15,1,오후 4:21:31.0,2.18,41.51,17.97
16,1,오후 4:21:36.0,2.16,43.85,17.19
17,1,오후 4:21:41.0,2.03,41.28,18.13
18,1,오후 4:21:46.0,1.93,43.69,17.03
19,1,오후 4:21:51.0,1.98,41.46,19.14
20,1,오후 4:21:56.0,2.09,42.47,19.03
21,1,오후 4:22:01.0,2.11,41.64,18.16
22,1,오후 4:22:06.0,1.94,40.45,15.03
23,1,오후 4:22:11.0,1.83,41.85,17.51
24,1,오후 4:22:16.0,1.83,41.46,17.84
25,1,오후 4:22:21.0,2.06,41.72,16.62
26,1,오후 4:22:26.1,1.89,43.24,15.5
27,1,오후 4:22:31.1,2.13,40.56,19.65
28,1,오후 4:22:36.1,2.04,42.63,19.14
29,1,오후 4:22:41.1,2.18,44.65,16.11
30,1,오후 4:22:46.1,1.94,41.16,15.5
31,1,오후 4:22:51.1,1.93,42.79,19.05
32,1,오후 4:22:56.1,1.86,42.32,18.55
33,1,오후 4:23:01.1,2.05,44.35,18.6
34,1,오후 4:23:06.1,2.09,43.03,19.16
35,1,오후 4:23:11.1,2.13,40.44,18.99
36,1,오후 4:23:16.1,2.05,43.96,16.48
37,1,오후 4:23:21.1,2.09,43.23,17.5
38,1,오후 4:23:26.1,1.81,40.15,16.45
39,1,오후 4:23:31.1,2.11,41.38,19.73
40,1,오후 4:23:36.1,2.04,40.73,15.17
41,1,오후 4:23:41.1,2.05,43.73,16.82
42,1,오후 4:23:46.1,2.15,43.27,15.19
43,1,오후 4:23:51.1,1.96,41.15,17.75
44,1,오후 4:23:56.2,1.97,43.57,18.55
45,1,오후 4:24:01.2,2.02,40.71,18.29
46,1,오후 4:24:06.2,2.04,41.0,19.38
47,1,오후 4:24:11.2,1.84,41.4,19.47
48,1,오후 4:24:16.2,1.93,41.35,15.86
49,1,오후 4:24:21.2,2.19,41.87,19.75
50,1,오후 4:24:26.2,1.98,40.91,18.44
51,1,오후 4:24:31.2,1.81,40.86,15.86
52,1,오후 4:24:36.2,1.83,41.32,16.11
53,1,오후 4:24:41.2,1.92,43.73,19.78
54,1,오후 4:24:46.2,2.14,44.76,16.73
55,1,오후 4:24:51.2,1.89,44.97,16.36
56,1,오후 4:24:56.2,1.88,44.32,16.45
57,1,오후 4:25:01.2,1.98,41.67,19.02
58,1,오후 4:25:06.2,1.87,42.25,16.03
59,1,오후 4:25:11.2,2.05,42.75,18.76
60,1,오후 4:25:16.2,2.19,44.0,15.35
61,1,오후 4:25:21.2,2.16,44.74,15.15
62,1,오후 4:25:26.2,1.82,44.01,18.74
63,1,오후 4:25:31.3,2.07,41.06,19.6
64,1,오후 4:25:36.3,1.99,41.16,19.21
65,1,오후 4:25:41.3,1.9,44.32,18.25
66,1,오후 4:25:46.3,2.02,41.18,15.74
67,1,오후 4:25:51.3,1.94,41.44,16.08
68,1,오후 4:25:56.3,2.0,42.67,18.83
69,1,오후 4:26:01.3,2.01,40.12,18.44
70,2,오후 4:26:28.6,2.02,43.33,17.24
71,2,오후 4:26:33.6,1.91,43.32,18.15
72,2,오후 4:26:38.6,1.81,44.53,17.63
73,2,오후 4:26:43.6,2.01,40.03,15.26
74,2,오후 4:26:48.7,2.13,43.83,17.78
75,2,오후 4:26:53.7,2.1,40.59,16.16
76,2,오후 4:26:58.7,1.81,41.92,19.8
77,2,오후 4:27:03.7,1.98,44.12,15.44
78,2,오후 4:27:08.7,1.86,42.02,15.18
79,2,오후 4:27:13.7,1.87,40.32,19.47
80,2,오후 4:27:18.7,2.16,40.42,19.05
81,2,오후 4:27:23.7,2.14,40.9,15.26
82,2,오후 4:27:28.7,1.9,41.98,16.29
83,2,오후 4:27:33.7,2.06,41.45,17.14
84,2,오후 4:27:38.7,2.19,41.47,19.46
85,2,오후 4:27:43.7,1.99,44.56,15.28
86,2,오후 4:27:48.7,1.83,43.86,15.08
87,2,오후 4:27:53.7,1.84,41.36,17.19
88,2,오후 4:27:58.7,1.82,44.29,16.93
89,2,오후 4:28:03.7,2.0,40.07,15.13
90,2,오후 4:28:08.7,1.81,40.24,19.79
91,2,오후 4:28:13.8,1.87,40.14,17.36
92,2,오후 4:28:18.8,1.88,42.02,19.44
93,2,오후 4:28:23.8,2.03,43.75,18.73
94,2,오후 4:28:28.8,1.91,44.0,18.3
95,2,오후 4:28:33.8,2.04,43.22,19.33
96,2,오후 4:28:38.8,2.12,44.97,17.74
97,2,오후 4:28:43.8,1.89,43.63,15.69
98,2,오후 4:28:48.8,2.24,43.14,16.17
99,2,오후 4:28:53.8,2.04,41.07,17.89
100,2,오후 4:28:58.8,1.93,40.94,19.6
101,2,오후 4:29:03.8,1.9,40.3,18.27
102,2,오후 4:29:08.8,2.11,42.21,19.62
103,2,오후 4:29:13.8,1.96,40.63,17.58
104,2,오후 4:29:18.8,1.83,41.96,19.09
105,2,오후 4:29:23.8,1.84,42.03,17.64
106,2,오후 4:29:28.8,2.11,43.72,15.1
107,2,오후 4:29:33.9,2.18,43.42,18.43
108,2,오후 4:29:38.9,1.94,44.03,18.45
109,2,오후 4:29:43.9,1.98,42.22,16.96
110,2,오후 4:29:48.9,1.92,43.07,18.32
111,2,오후 4:29:53.9,1.96,42.51,18.53
112,2,오후 4:29:58.9,2.08,41.72,18.51
113,2,오후 4:30:03.9,2.09,40.9,15.59
114,2,오후 4:30:08.9,1.94,42.29,18.23
115,2,오후 4:30:13.9,1.99,44.08,15.26
116,2,오후 4:30:18.9,2.02,41.81,18.34
117,2,오후 4:30:23.9,1.95,40.78,18.2
