Index,Lot,Time,pH,Temp,Voltage
1,1,오후 4:26:38.0,1.83,44.84,19.55
2,1,오후 4:26:43.0,2.06,41.03,16.29
3,1,오후 4:26:48.0,2.03,41.8,18.3
4,1,오후 4:26:53.0,2.1,44.73,19.25
5,1,오후 4:26:58.0,2.13,41.83,19.93
6,1,오후 4:27:03.0,2.09,40.3,18.33
7,1,오후 4:27:08.0,1.85,43.08,18.49
8,1,오후 4:27:13.0,2.04,42.82,19.91
9,1,오후 4:27:18.0,1.86,40.9,18.84
10,1,오후 4:27:23.0,2.0,41.44,19.66
11,1,오후 4:27:28.0,1.96,40.85,15.62
12,1,오후 4:27:33.0,1.84,42.94,15.48
13,1,오후 4:27:38.0,1.84,41.63,19.55
14,1,오후 4:27:43.0,2.02,43.58,15.77
15,1,오후 4:27:48.0,1.98,42.3,10.44
16,1,오후 4:27:53.0,1.88,44.58,18.76
17,1,오후 4:27:58.0,1.95,41.06,19.35
18,1,오후 4:28:03.0,1.86,43.97,18.55
19,1,오후 4:28:08.0,2.17,42.55,16.99
20,1,오후 4:28:13.0,2.11,41.78,19.88
21,1,오후 4:28:18.1,1.98,42.3,10.44
22,1,오후 4:28:23.1,2.19,40.5,16.35
23,1,오후 4:28:28.1,1.81,41.83,16.0
24,1,오후 4:28:33.1,1.83,40.06,17.77
25,1,오후 4:28:38.1,2.15,43.41,16.66
26,1,오후 4:28:43.1,1.9,40.22,16.49
27,1,오후 4:28:48.1,1.85,42.31,18.41
28,1,오후 4:28:53.1,1.97,44.73,16.72
29,1,오후 4:28:58.1,1.97,44.55,16.87
30,1,오후 4:29:03.1,1.87,41.37,19.49
31,1,오후 4:29:08.1,2.16,43.0,15.51
32,1,오후 4:29:13.1,1.88,41.36,16.29
33,1,오후 4:29:18.1,1.86,43.92,17.83
34,1,오후 4:29:23.1,1.97,41.66,17.26
35,1,오후 4:29:28.1,1.9,44.49,18.34
36,1,오후 4:29:33.1,2.04,41.33,18.1
37,1,오후 4:29:38.1,2.06,41.77,17.37
38,1,오후 4:29:43.1,1.91,43.09,16.38
39,1,오후 4:29:48.1,2.1,42.09,16.01
40,1,오후 4:29:53.2,2.03,44.45,17.33
41,1,오후 4:29:58.2,1.98,43.94,17.83
42,1,오후 4:30:03.2,1.92,42.44,15.64
43,1,오후 4:30:08.2,1.99,42.12,16.69
44,1,오후 4:30:13.2,2.16,44.02,17.09
45,1,오후 4:30:18.2,1.96,41.76,16.82
46,1,오후 4:30:23.2,2.01,44.62,16.76
47,1,오후 4:30:28.2,2.08,43.61,16.84
48,1,오후 4:30:33.2,2.04,40.83,15.09
49,1,오후 4:30:38.2,1.91,42.26,19.1
50,1,오후 4:30:43.2,1.89,41.56,17.51
51,1,오후 4:30:48.2,1.98,42.3,10.44
52,1,오후 4:30:53.2,2.12,42.72,18.78
53,1,오후 4:30:58.2,2.14,44.14,19.72
54,1,오후 4:31:03.2,2.15,40.49,17.96
55,1,오후 4:31:08.2,2.11,42.9,15.71
56,1,오후 4:31:13.2,1.89,43.01,18.36
57,1,오후 4:31:18.2,1.82,44.88,17.09
58,1,오후 4:31:23.2,2.09,40.26,17.13
59,1,오후 4:31:28.2,2.11,42.24,18.27
60,1,오후 4:31:33.3,2.05,43.2,15.81
61,1,오후 4:31:38.3,1.93,41.6,17.37
62,1,오후 4:31:43.3,2.13,42.81,17.09
63,1,오후 4:31:48.3,2.11,41.04,17.53
64,1,오후 4:31:53.3,1.94,43.91,16.97
65,1,오후 4:31:58.3,1.98,42.3,10.44
66,1,오후 4:32:03.3,2.09,40.13,17.11
67,1,오후 4:32:08.3,2.07,40.4,17.32
68,1,오후 4:32:13.3,2.17,42.89,15.04
69,1,오후 4:32:18.3,2.15,42.44,18.53
70,2,오후 4:32:46.0,1.97,41.7,17.16
71,2,오후 4:32:51.0,1.92,41.25,19.44
72,2,오후 4:32:56.0,1.97,44.76,18.31
73,2,오후 4:33:01.0,1.87,41.64,16.93
74,2,오후 4:33:06.0,1.95,43.04,17.69
75,2,오후 4:33:11.0,1.89,40.91,15.94
76,2,오후 4:33:16.0,2.09,43.22,18.67
77,2,오후 4:33:21.0,1.81,43.13,17.88
78,2,오후 4:33:26.0,2.13,44.65,16.45
79,2,오후 4:33:31.0,1.91,44.27,15.75
80,2,오후 4:33:36.0,1.9,41.43,19.42
81,2,오후 4:33:41.0,1.97,41.44,18.99
82,2,오후 4:33:46.0,2.05,44.98,17.92
83,2,오후 4:33:51.0,2.04,41.44,17.01
84,2,오후 4:33:56.0,1.83,42.26,15.32
85,2,오후 4:34:01.0,1.87,40.36,15.51
86,2,오후 4:34:06.0,1.89,42.95,18.66
87,2,오후 4:34:11.0,1.97,44.42,15.63
88,2,오후 4:34:16.0,2.09,44.82,19.06
89,2,오후 4:34:21.1,1.87,41.76,17.62
90,2,오후 4:34:26.1,2.03,44.18,15.31
91,2,오후 4:34:31.1,2.13,42.55,16.92
92,2,오후 4:34:36.1,1.88,43.2,18.38
93,2,오후 4:34:41.1,2.06,43.4,17.12
94,2,오후 4:34:46.1,2.0,40.75,15.99
95,2,오후 4:34:51.1,2.13,41.95,16.54
96,2,오후 4:34:56.1,2.07,44.38,15.88
97,2,오후 4:35:01.1,2.03,41.57,15.13
98,2,오후 4:35:06.1,2.0,42.69,17.15
99,2,오후 4:35:11.1,2.06,40.17,16.8
100,2,오후 4:35:16.1,2.03,43.02,16.31
101,2,오후 4:35:21.1,1.98,40.61,17.1
102,2,오후 4:35:26.1,2.11,42.01,16.04
103,2,오후 4:35:31.1,1.98,43.3,17.74
104,2,오후 4:35:36.1,1.85,42.1,15.05
105,2,오후 4:35:41.2,1.92,44.29,17.47
106,2,오후 4:35:46.2,1.97,41.64,16.69
107,2,오후 4:35:51.2,2.14,42.83,15.75
108,2,오후 4:35:56.2,1.96,44.44,19.19
109,2,오후 4:36:01.2,2.15,41.14,19.37
110,2,오후 4:36:06.2,1.83,42.84,16.41
111,2,오후 4:36:11.2,2.1,44.07,19.02
112,2,오후 4:36:16.2,2.02,42.46,17.6
113,2,오후 4:36:21.2,2.03,41.24,16.43
114,2,오후 4:36:26.2,1.9,43.29,15.9
115,2,오후 4:36:31.2,1.82,40.48,17.9
116,2,오후 4:36:36.2,2.06,42.09,18.9
117,2,오후 4:36:41.2,1.84,41.78,18.35
118,2,오후 4:36:46.2,2.17,41.65,17.95
119,2,오후 4:36:51.2,1.85,41.86,17.61
120,2,오후 4:36:56.2,2.13,42.55,19.65
121,2,오후 4:37:01.2,2.07,40.23,16.64
122,2,오후 4:37:06.2,2.12,44.87,19.61
123,2,오후 4:37:11.2,1.92,43.39,17.08
124,2,오후 4:37:16.2,2.48,34.12,12.97
125,2,오후 4:37:21.2,1.89,41.64,17.67
126,2,오후 4:37:26.3,2.07,42.55,15.8
127,2,오후 4:37:31.3,2.07,43.53,16.11
128,2,오후 4:37:36.3,2.13,44.23,18.22
129,2,오후 4:37:41.3,1.84,40.06,16.56
130,2,오후 4:37:46.3,2.0,41.4,16.3
131,2,오후 4:37:51.3,2.16,44.0,18.9
132,2,오후 4:37:56.3,1.93,41.65,19.38
133,2,오후 4:38:01.3,2.07,42.88,19.18
134,2,오후 4:38:06.3,1.91,43.11,19.17
135,2,오후 4:38:11.3,2.06,42.66,15.28
136,2,오후 4:38:16.3,2.09,44.36,19.87
